observation_date,EA19PRINTO01GPSAM
1975-08-01,1.3606584915169100
1975-09-01,-0.1657275439178200
1975-10-01,1.6766268260292301
1975-11-01,0.8163265306122340
1975-12-01,0.6477732793522341
1976-01-01,1.1423974255832701
1976-02-01,0.6363347120585310
1976-03-01,0.4900411002213100
1976-04-01,1.2584552461853000
1976-05-01,1.8797576510796901
1976-06-01,0.0000000000000000
1976-07-01,-0.4574565416285320
1976-08-01,0.0000000000000000
1976-09-01,2.0067401960784301
1976-10-01,0.3003453972067730
1976-11-01,0.6138643509507440
1976-12-01,0.0000000000000000
1977-01-01,1.5029761904761900
1977-02-01,-0.8942970238967780
1977-03-01,-0.4437869822485250
1977-04-01,0.0000000000000000
1977-05-01,-0.7578008915304650
1977-06-01,-0.4491690372810170
1977-07-01,-0.9023913370431740
1977-08-01,1.3659128851115501
1977-09-01,0.1646953136697270
1977-10-01,-0.1644245142003150
1977-11-01,-0.7486150621350400
1977-12-01,1.3727560718056999
1978-01-01,0.4464285714285760
1978-02-01,-0.8888888888888810
1978-03-01,-0.7623318385650441
1978-04-01,3.0426269016418201
1978-05-01,-1.4763923403011201
1978-06-01,-0.1483679525222570
1978-07-01,1.3521545319465000
1978-08-01,0.5864242779651140
1978-09-01,1.3263372686197299
1978-10-01,-0.2876869965477420
1978-11-01,0.4327755337564790
1978-12-01,3.0451019821890299
1979-01-01,-3.8054084192918798
1979-02-01,1.3186494710911401
1979-03-01,1.0154462242563000
1979-04-01,0.5663315871442790
1979-05-01,0.4223567506687360
1979-06-01,1.1355670825739399
1979-07-01,0.0000000000000000
1979-08-01,0.5683393401718900
1979-09-01,0.1378359751895100
1979-10-01,-0.8396421197522420
1979-11-01,1.1243753470294400
1979-12-01,1.1118737131091401
1980-01-01,-2.8532946355042199
1980-02-01,-0.8547008547008490
1980-03-01,0.0485672656629482
1980-04-01,-0.2305825242718560
1980-05-01,-1.1434132100717600
1980-06-01,0.5783191829703430
1980-07-01,-0.8686077807682840
1980-08-01,1.9252128841169900
1980-09-01,-3.0754328611212101
1980-10-01,0.1374141161774070
1980-11-01,0.8982035928143620
1980-12-01,0.0123639960435351
1981-01-01,-1.7307454567931899
1981-02-01,1.6354258397282699
1981-03-01,-1.2872880306968699
1981-04-01,0.0877742946708257
1981-05-01,1.3530443497870399
1981-06-01,-1.0259579728059400
1981-07-01,0.7243661795928710
1981-08-01,-1.7110973341599700
1981-09-01,1.6147344518733400
1981-10-01,0.4593420235878430
1981-11-01,-0.8403361344537840
1981-12-01,-0.9596211365902220
1982-01-01,0.9185856297974120
1982-02-01,-1.0349127182044999
1982-03-01,-0.1637898450296210
1982-04-01,1.0095911155982200
1982-05-01,-1.1244377811094699
1982-06-01,-1.8448319433914699
1982-07-01,0.5792996910401850
1982-08-01,-1.0623320107512999
1982-09-01,0.8020698576972690
1982-10-01,-0.9625256673511280
1982-11-01,-0.9459634573020650
1982-12-01,-0.6802721088435359
1983-01-01,1.3698630136986301
1983-02-01,0.4287941787941830
1983-03-01,0.9315564756113240
1983-04-01,-0.3589283425201740
1983-05-01,0.2058407307345800
1983-06-01,0.7574784953139170
1983-07-01,-0.5479102956167260
1983-08-01,0.5253042921204329
1983-09-01,1.0323731837879200
1983-10-01,-0.2901475968209910
1983-11-01,0.9741902834008200
1983-12-01,1.1026187194587100
1984-01-01,-0.6444416904201250
1984-02-01,-0.2868903579892730
1984-03-01,-0.2626970227670810
1984-04-01,-0.1003386429198310
1984-05-01,1.5693659761456200
1984-06-01,-5.0309023485784898
1984-07-01,5.7399453338539601
1984-08-01,2.2033481043820600
1984-09-01,-0.4456220643140800
1984-10-01,-0.8831357367529520
1984-11-01,-0.3905773221042420
1984-12-01,1.2743536331332099
1985-01-01,0.8336561973749930
1985-02-01,-0.3760969494358680
1985-03-01,0.7829977628635399
1985-04-01,-1.0543840177580499
1985-05-01,1.3320246775098299
1985-06-01,-0.8578940085789420
1985-07-01,0.8932309839497680
1985-08-01,0.1521648914095990
1985-09-01,-0.1381215469613430
1985-10-01,0.8990318118948920
1985-11-01,0.9184372858122030
1985-12-01,-0.8149959250203830
1986-01-01,0.6162695152013050
1986-02-01,0.3266639444671360
1986-03-01,-1.0446343779677201
1986-04-01,2.4677817384151299
1986-05-01,-2.7294621354027000
1986-06-01,1.6506189821182800
1986-07-01,0.2029769959404460
1986-08-01,-0.6212018906144370
1986-09-01,0.7609729582823800
1986-10-01,-0.1618341200269830
1986-11-01,-0.9590706470349770
1986-12-01,1.0774686306601200
1987-01-01,-0.8905680744838660
1987-02-01,1.3342409802586701
1987-03-01,-0.3090151820502420
1987-04-01,0.1617250673854400
1987-05-01,1.2782561894510001
1987-06-01,-1.0495549355652800
1987-07-01,0.4027926960257830
1987-08-01,0.0534902380315473
1987-09-01,0.0935578722266877
1987-10-01,0.7344104686874000
1987-11-01,0.3976670201484660
1987-12-01,-0.2508581991022130
1988-01-01,-0.1985440105889700
1988-02-01,0.9946949602121961
1988-03-01,1.2869336835193399
1988-04-01,-1.5039543627641501
1988-05-01,1.5532447018560001
1988-06-01,0.0648088139986894
1988-07-01,-0.7901554404144980
1988-08-01,3.3685859772816200
1988-09-01,-0.9852216748768490
1988-10-01,-0.6633499170812610
1988-11-01,0.9374598690124420
1988-12-01,1.3613231552163101
1989-01-01,0.2133801932973480
1989-02-01,-0.2505010020040250
1989-03-01,-0.0376695128076260
1989-04-01,2.1479713603818502
1989-05-01,-2.9758976881455901
1989-06-01,3.1939163498098999
1989-07-01,-0.8720216163104950
1989-08-01,2.9859992565977000
1989-09-01,-2.0211742059672799
1989-10-01,0.7367387033398900
1989-11-01,-0.0853242320819207
1989-12-01,0.9149688910576990
1990-01-01,0.1088007736943950
1990-02-01,1.1713561164110700
1990-03-01,-0.2864645500119280
1990-04-01,0.4069906631553680
1990-05-01,-0.0238435860753543
1990-06-01,-0.6439303601240119
1990-07-01,0.3840614498319720
1990-08-01,0.6695361071257810
1990-09-01,0.4988123515439560
1990-10-01,0.2008981328291150
1990-11-01,-0.9435074890907180
1990-12-01,1.0477437790213300
1991-01-01,2.0478693009387401
1991-02-01,-1.2121212121212099
1991-03-01,-0.9815950920245390
1991-04-01,-0.6195786864931790
1991-05-01,-0.1246882793017610
1991-06-01,1.9975031210986400
1991-07-01,-1.9583843329253501
1991-08-01,0.0000000000000000
1991-09-01,0.2496878901373320
1991-10-01,0.3735990037359810
1991-11-01,1.1166253101737100
1991-12-01,-0.7361963190184010
1992-01-01,1.2360939431396800
1992-02-01,0.3663003663003710
1992-03-01,-0.9732360097323730
1992-04-01,-0.2457002457002350
1992-05-01,-0.4926108374384440
1992-06-01,-0.9900990099009760
1992-07-01,-1.2500000000000000
1992-08-01,-0.1265822784810140
1992-09-01,-0.8871989860582991
1992-10-01,0.2557544757033280
1992-11-01,-1.0204081632653199
1992-12-01,-1.6752577319587600
1993-01-01,0.5242463958060360
1993-02-01,-0.7822685788787590
1993-03-01,-0.2628120893560850
1993-04-01,-0.5270092226614180
1993-05-01,-0.2649006622516590
1993-06-01,-0.5312084993359670
1993-07-01,-0.5340453938585000
1993-08-01,1.3422818791946300
1993-09-01,0.3973509933774890
1993-10-01,0.1319261213720480
1993-11-01,0.0000000000000000
1993-12-01,0.1317523056653220
1994-01-01,0.1315789473684230
1994-02-01,1.4454664914586099
1994-03-01,0.1295336787564780
