observation_date,EA19PRINTO01IXOBSAM
1975-07-01,56.7019554263645
1975-08-01,57.4734753977294
1975-09-01,57.3782260185486
1975-10-01,58.3402447482752
1975-11-01,58.8164916441795
1975-12-01,59.1974891609029
1976-01-01,59.8737597530870
1976-02-01,60.2547572698105
1976-03-01,60.5500303452711
1976-04-01,61.3120253787180
1976-05-01,62.4645428668064
1976-06-01,62.4645428668064
1976-07-01,62.1787947292638
1976-08-01,62.1787947292638
1976-09-01,63.4265615965330
1976-10-01,63.6170603548947
1976-11-01,64.0075828095362
1976-12-01,64.0075828095362
1977-01-01,64.9696015392629
1977-02-01,64.3885803262597
1977-03-01,64.1028321887171
1977-04-01,64.1028321887171
1977-05-01,63.6170603548947
1977-06-01,63.3313122173522
1977-07-01,62.7598159422670
1977-08-01,63.6170603548947
1977-09-01,63.7218346719937
1977-10-01,63.6170603548947
1977-11-01,63.1408134589904
1977-12-01,64.0075828095362
1978-01-01,64.2933309470788
1978-02-01,63.7218346719937
1978-03-01,63.2360628381713
1978-04-01,65.1601002976246
1978-05-01,64.1980815678980
1978-06-01,64.1028321887171
1978-07-01,64.9696015392629
1978-08-01,65.3505990559863
1978-09-01,66.2173684065322
1978-10-01,66.0268696481704
1978-11-01,66.3126177857130
1978-12-01,68.3319046243472
1979-01-01,65.7315965727098
1979-02-01,66.5983659232556
1979-03-01,67.2746365154397
1979-04-01,67.6556340321631
1979-05-01,67.9413821697057
1979-06-01,68.7129021410706
1979-07-01,68.7129021410706
1979-08-01,69.1034245957121
1979-09-01,69.1986739748930
1979-10-01,68.6176527618898
1979-11-01,69.3891727332547
1979-12-01,70.1606927046196
1980-01-01,68.1588014234461
1980-02-01,67.5762475651261
1980-03-01,67.6090675008061
1980-04-01,67.4531728063261
1980-05-01,66.6819043178460
1980-06-01,67.0675385620860
1980-07-01,66.4849847037660
1980-08-01,67.7649621952861
1980-09-01,65.6808962796059
1980-10-01,65.7711511027259
1980-11-01,66.3619099449660
1980-12-01,66.3701149288860
1981-01-01,65.2214171800859
1981-02-01,66.2880650896860
1981-03-01,65.4347467620059
1981-04-01,65.4921816494459
1981-05-01,66.3783199128060
1981-06-01,65.6973062474459
1981-07-01,66.1731953148060
1981-08-01,65.0409075338458
1981-09-01,66.0911454756060
1981-10-01,66.3947298806460
1981-11-01,65.8367909740859
1981-12-01,65.2050072122459
1982-01-01,65.8039710384059
1982-02-01,65.1229573730459
1982-03-01,65.0162925820858
1982-04-01,65.6726912956859
1982-05-01,64.9342427428858
1982-06-01,63.7363150905657
1982-07-01,64.1055393669658
1982-08-01,63.4245257016057
1982-09-01,63.9332347046458
1982-10-01,63.3178609106457
1982-11-01,62.7188970844856
1982-12-01,62.2922379206456
1983-01-01,63.1455562483257
1983-02-01,63.4163207176857
1983-03-01,64.0070795599258
1983-04-01,63.7773400101658
1983-05-01,63.9086197528858
1983-06-01,64.3927138041658
1983-07-01,64.0398994956058
1983-08-01,64.3763038363258
1983-09-01,65.0409075338458
1983-10-01,64.8521929036858
1983-11-01,65.4839766655259
1983-12-01,66.2060152504860
1984-01-01,65.7793560866459
1984-02-01,65.5906414564859
1984-03-01,65.4183367941659
1984-04-01,65.3526969228059
1984-05-01,66.3783199128060
1984-06-01,63.0388914573657
1984-07-01,66.6572893660860
1984-08-01,68.1259814877661
1984-09-01,67.8223970827261
1984-10-01,67.2234332565661
1984-11-01,66.9608737711260
1984-12-01,67.8141920988061
1985-01-01,68.3795293139376
1985-02-01,68.1223559901493
1985-03-01,68.6557525135621
1985-04-01,67.9318572317876
1985-05-01,68.8367263340057
1985-06-01,68.2461801830844
1985-07-01,68.8557762098419
1985-08-01,68.9605505269408
1985-09-01,68.8653011477600
1985-10-01,69.4844221124356
1985-11-01,70.1225929529473
1985-12-01,69.5510966778622
1986-01-01,69.9797188841760
1986-02-01,70.2083173942101
1986-03-01,69.4748971745174
1986-04-01,71.1893859997729
1986-05-01,69.2462986644834
1986-06-01,70.3892912146537
1986-07-01,70.5321652834250
1986-08-01,70.0940181391930
1986-09-01,70.6274146626058
1986-10-01,70.5131154075888
1986-11-01,69.8368448154047
1986-12-01,70.5893149109335
1987-01-01,69.9606690083398
1987-02-01,70.8941129243122
1987-03-01,70.6750393521963
1987-04-01,70.7893386072133
1987-05-01,71.6942077094314
1987-06-01,70.9417376139027
1987-07-01,71.2274857514452
1987-08-01,71.2655855031176
1987-09-01,71.3322600685442
1987-10-01,71.8561316540389
1987-11-01,72.1418797915815
1987-12-01,71.9609059711378
1988-01-01,71.8180319023666
1988-02-01,72.5324022462230
1988-03-01,73.4658461621954
1988-04-01,72.3609533636974
1988-05-01,73.4848960380316
1988-06-01,73.5325207276220
1988-07-01,72.9514995146188
1988-08-01,75.4089334974849
1988-09-01,74.6659883398742
1988-10-01,74.1706915681338
1988-11-01,74.8660120361540
1988-12-01,75.8851803933892
1989-01-01,76.0471043379966
1989-02-01,75.8566055796349
1989-03-01,75.8280307658806
1989-04-01,77.4567951498733
1989-05-01,75.1517601736966
1989-06-01,77.5520445290542
1989-07-01,76.8757739368701
1989-08-01,79.1712839751288
1989-09-01,77.5710944048904
1989-10-01,78.1425906799755
1989-11-01,78.0759161145489
1989-12-01,78.7902864584053
1990-01-01,78.8760108996681
1990-02-01,79.7999298777224
1990-03-01,79.5713313676884
1990-04-01,79.8951792569033
1990-05-01,79.8761293810671
1990-06-01,79.3617827334905
1990-07-01,79.6665807468692
1990-08-01,80.1999772702820
1990-09-01,80.6000246628416
1990-10-01,80.7619486074491
1990-11-01,79.9999535740022
1990-12-01,80.8381481107938
1991-01-01,82.4931255728689
1991-02-01,81.4932088992584
1991-03-01,80.6932755603700
1991-04-01,80.1933172235647
1991-05-01,80.0933255562036
1991-06-01,81.6931922339805
1991-07-01,80.0933255562036
1991-08-01,80.0933255562036
1991-09-01,80.2933088909258
1991-10-01,80.5932838930089
1991-11-01,81.4932088992584
1991-12-01,80.8932588950921
1992-01-01,81.8931755687026
1992-02-01,82.1931505707858
1992-03-01,81.3932172318974
1992-04-01,81.1932338971752
1992-05-01,80.7932672277310
1992-06-01,79.9933338888426
1992-07-01,78.9934172152321
1992-08-01,78.8934255478710
1992-09-01,78.1934838763436
1992-10-01,78.3934672110658
1992-11-01,77.5935338721773
1992-12-01,76.2936421964836
1993-01-01,76.6936088659279
1993-02-01,76.0936588617615
1993-03-01,75.8936755270394
1993-04-01,75.4937088575952
1993-05-01,75.2937255228731
1993-06-01,74.8937588534289
1993-07-01,74.4937921839847
1993-08-01,75.4937088575952
1993-09-01,75.7936838596784
1993-10-01,75.8936755270394
1993-11-01,75.8936755270394
1993-12-01,75.9936671944005
1994-01-01,76.0936588617615
1994-02-01,77.1935672027331
1994-03-01,77.2935588700942
1994-04-01,78.6934422131489
1994-05-01,78.4934588784268
1994-06-01,79.0934088825931
1994-07-01,79.2933922173152
1994-08-01,79.4933755520374
1994-09-01,79.8933422214816
1994-10-01,80.7932672277310
1994-11-01,81.3932172318974
1994-12-01,82.2931422381468
1995-01-01,81.6931922339805
1995-02-01,81.8931755687026
1995-03-01,81.7931839013416
1995-04-01,82.0931589034247
1995-05-01,82.3931339055079
1995-06-01,82.0931589034247
1995-07-01,81.9931672360637
1995-08-01,81.9931672360637
1995-09-01,82.3931339055079
1995-10-01,81.3932172318974
1995-11-01,81.6931922339805
1995-12-01,82.6931089075910
1996-01-01,81.8931755687026
1996-02-01,81.5932005666194
1996-03-01,81.5932005666194
1996-04-01,80.9932505624531
1996-05-01,81.8931755687026
1996-06-01,81.8931755687026
1996-07-01,81.1932338971752
1996-08-01,82.1931505707858
1996-09-01,82.1931505707858
1996-10-01,81.7931839013416
1996-11-01,82.4931255728689
1996-12-01,82.3931339055079
1997-01-01,82.5931172402300
1997-02-01,83.0930755770352
1997-03-01,83.9930005832847
1997-04-01,84.9929172568952
1997-05-01,84.1929839180068
1997-06-01,85.5928672610616
1997-07-01,86.2928089325890
1997-08-01,86.3928005999500
1997-09-01,86.0928255978668
1997-10-01,87.3927172735606
1997-11-01,87.0927422714774
1997-12-01,87.9926672777269
1998-01-01,88.2926422798100
1998-02-01,88.6926089492542
1998-03-01,88.6926089492542
1998-04-01,88.9925839513374
1998-05-01,89.2925589534206
1998-06-01,88.8925922839764
1998-07-01,89.7925172902258
1998-08-01,88.5926172818932
1998-09-01,88.8925922839764
1998-10-01,89.0925756186984
1998-11-01,88.5926172818932
