spec,n,beta_log_ceir,beta_post_ban,beta3_interaction,p_hac_beta3,p_cluster_beta3,p_hac_log_ceir,p_cluster_log_ceir,adj_r2,note
interaction_core,2280,-0.1874855452464097,-0.32561533511824337,0.08080734774491942,0.25905619906015775,0.22485976393441043,0.0029203336413757804,0.0020216737250212044,0.11213868059265297,
interaction_full_controls,2280,-0.2623474270520153,-0.5914422609946919,0.19153671756736698,0.03155114073183182,0.03264545258708193,0.0005156475703376918,0.0006436791962313368,0.1455515232876522,
supplementary_chow_level_split,2310,,,,1.1102230246251565e-16,,,,,p_hac_beta3 column holds classical Chow p-value for supplementary reporting
