Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced,daily_energy_twh,daily_cost_millions,CEIR_corrected,cost_to_mcap_ratio,CEIR_methodology,daily_energy_twh_fixed,daily_cost_millions_fixed,cumulative_cost_millions,CEIR_fixed,YearMonth,date,canada,usa,russia,kazakhstan,iran,china,malaysia,others,weighted_price_calculated,DateTime,ETH_TWh_Annual,ETH_TWh_Min,ETH_BTC_ratio,cum_cost_billion,CEIR_proper,cum_cost_billion_adj,CEIR_adjusted,log_CEIR,Returns_forward,elec_cost_change,weighted_price_calculated_clean,elec_cost_change_clean
2018-01-02,14767.66,9.383997185341553,36.9645251843373,310120860000.0,5063633.58689552,10104051.570718698,92.45398957314474,92.45398957314474,,,100.0,0.076,101.2726717379104,7696.72305208119,7696.72305208119,0.1012726717379104,7696.723052081192,7696.723052081192,2.4818462879540552e-08,Cumulative cost using time-varying electricity prices,0.1012726717379104,5063.633586895521,5063.633586895521,61.244727660109575,2018-01,,,,,,,,,,,2018-01-02,16.3268786609854,9.6994226270785,0.4416904743011136,0.0101040515707186,30692723392141.312,0.1,3101208600000.0,28.762813022407453,1.75647326658388,,0.0438025,0.0
2018-01-03,15027.05,1.75647326658388,37.2159417164804,315568050000.0,5098074.207737042,15202125.77845574,92.45398957314474,92.45398957314474,,,100.0,0.076,101.96148415474084,7749.072795760303,15445.795847841491,0.1019614841547408,7749.072795760302,15445.795847841497,4.894600656765314e-08,Cumulative cost using time-varying electricity prices,0.1019614841547408,5098.074207737041,10161.707794632564,31.05462746790296,2018-01,,,,,,,,,,,2018-01-03,16.3268786609854,9.77013292547616,0.4387065840055134,0.0152021257784557,20758152813550.527,0.1,3155680500000.0,28.780225278046046,-0.8897954022911936,,0.0438025,0.0
2018-01-04,14893.34,-0.8897954022911936,37.4856629940503,312760140000.0,5135022.327952096,20337148.10640784,92.45398957314474,92.45398957314474,,,100.0,0.076,102.70044655904194,7805.2339384871875,23251.02978632868,0.1027004465590419,7805.233938487186,23251.02978632868,7.434140995821488e-08,Cumulative cost using time-varying electricity prices,0.1027004465590419,5135.022327952097,15296.73012258466,20.4462089278956,2018-01,,,,,,,,,,,2018-01-04,16.3268786609854,9.69640460829766,0.4355499504857841,0.0203371481064078,15378760992621.938,0.1,3127601400000.0,28.771287500824243,11.157336097879988,,0.0438025,0.0
2018-01-05,16555.04,11.157336097879988,37.8028523313763,347655840000.0,5178472.922106342,25515621.028514177,92.45398957314474,92.45398957314474,,,100.0,0.076,103.56945844212684,7871.278841601639,31122.30862793032,0.1035694584421268,7871.278841601641,31122.30862793032,8.9520453986708e-08,Cumulative cost using time-varying electricity prices,0.1035694584421268,5178.472922106343,20475.203044691003,16.979359825696253,2018-01,,,,,,,,,,,2018-01-05,16.3268786609854,9.69186869519853,0.4318954167232011,0.0255156210285141,13625215690869.848,0.1,3476558400000.0,28.877063954848637,-9.765424909876383,,0.0438025,0.0
2018-01-08,14938.37,-9.765424909876383,39.026543612112,313705770000.0,5346101.864672877,30861722.893187054,92.45398957314474,92.45398957314474,,,100.0,0.076,106.92203729345754,8126.074834302772,39248.38346223309,0.1069220372934575,8126.074834302772,39248.38346223309,1.251120865970463e-07,Cumulative cost using time-varying electricity prices,0.1069220372934575,5346.101864672877,25821.30490936388,12.149105984424406,2018-01,,,,,,,,,,,2018-01-08,16.6951051477901,10.0650223597205,0.4277884640188511,0.030861722893187,10164881950555.418,0.1,3137057700000.0,28.774306438337398,-2.8667116961221484,,0.0438025,0.0
2018-01-09,14510.13,-2.8667116961221484,39.4402789802126,304712730000.0,5402777.942494876,36264500.83568193,92.45398957314474,92.45398957314474,,,100.0,0.076,108.05555884989754,8212.222472592213,47460.6059348253,0.1080555588498975,8212.222472592211,47460.6059348253,1.5575524506253909e-07,Cumulative cost using time-varying electricity prices,0.1080555588498975,5402.777942494877,31224.08285185876,9.758900892163773,2018-01,,,,,,,,,,,2018-01-09,16.8759412215013,10.0429869489214,0.4278859495382386,0.0362645008356819,8402507217200.748,0.1,3047127300000.0,28.74522039385823,-0.1293579037541237,,0.0438025,0.0
2018-01-10,14491.36,-0.1293579037541237,39.8440130152441,304318560000.0,5458083.974690973,41722584.8103729,92.45398957314474,92.45398957314474,,,100.0,0.076,109.16167949381943,8296.287641530278,55756.89357635558,0.1091616794938194,8296.287641530278,55756.89357635558,1.832188400745442e-07,Cumulative cost using time-varying electricity prices,0.1091616794938194,5458.083974690973,36682.16682654973,8.296090071204329,2018-01,,,,,,,,,,,2018-01-10,17.0449744469821,9.97102802442226,0.4277926131702844,0.0417225848103728,7293856825580.509,0.1,3043185600000.0,28.74392597742509,-7.092778041536474,,0.0438025,0.0
2018-01-11,13463.52,-7.092778041536474,40.2397317186025,282733920000.0,5512292.016246919,47234876.82661982,92.45398957314474,92.45398957314474,,,100.0,0.076,110.24584032493834,8378.683864695313,64135.57744105089,0.1102458403249383,8378.683864695315,64135.57744105089,2.268407605322025e-07,Cumulative cost using time-varying electricity prices,0.1102458403249383,5512.292016246918,42194.458842796645,6.70073577796976,2018-01,,,,,,,,,,,2018-01-11,17.1925525392549,10.3983351607637,0.4272531601225096,0.0472348768266198,5985702493473.249,0.1,2827339200000.0,28.670357173293,2.22438114252439,,0.0438025,0.0
2018-01-12,13763.0,2.22438114252439,40.6372987820845,289023000000.0,5566753.257819795,52801630.08443961,92.45398957314474,92.45398957314474,,,100.0,0.076,111.3350651563959,8461.464951886088,72597.04239293697,0.1113350651563959,8461.464951886088,72597.04239293697,2.511808485585472e-07,Cumulative cost using time-varying electricity prices,0.1113350651563959,5566.753257819795,47761.21210061644,6.051416772906181,2018-01,,,,,,,,,,,2018-01-12,17.3638676807021,10.3977306125736,0.4272889242421102,0.0528016300844396,5473751464449.082,0.1,2890230000000.0,28.692357199661277,2.9601830996148992,,0.0438025,0.0
2018-01-13,14170.41,2.9601830996148992,41.0450000676022,297578610000.0,5622602.748986604,58424232.833426215,92.45398957314474,92.45398957314474,,,100.0,0.076,112.45205497973208,8546.356178459637,81143.39857139661,0.112452054979732,8546.356178459637,81143.39857139661,2.726788681867847e-07,Cumulative cost using time-varying electricity prices,0.112452054979732,5622.602748986604,53383.81484960304,5.574322682602605,2018-01,,,,,,,,,,,2018-01-13,17.5570156602646,10.6225366305333,0.427750411288774,0.0584242328334262,5093410654589.658,0.1,2975786100000.0,28.72152935531626,-4.730773492086671,,0.0438025,0.0
2018-01-14,13500.04,-4.730773492086671,41.4235024803634,283500840000.0,5674452.39457033,64098685.22799654,92.45398957314474,92.45398957314474,,,100.0,0.076,113.48904789140656,8625.1676397469,89768.56621114351,0.1134890478914065,8625.1676397469,89768.56621114351,3.166430343244962e-07,Cumulative cost using time-varying electricity prices,0.1134890478914065,5674.4523945703295,59058.267244173374,4.8003582432901455,2018-01,,,,,,,,,,,2018-01-14,17.7447601855727,10.7482809738309,0.4283742108476827,0.0640986852279965,4422880734473.702,0.1,2835008400000.0,28.67306601606684,3.255842204911974,,0.0438025,0.0
2018-01-15,13939.58,3.255842204911974,41.7921787671279,292731180000.0,5724955.995496972,69823641.22349352,92.45398957314474,92.45398957314474,,,100.0,0.076,114.49911990993944,8701.933113155399,98470.4993242989,0.1144991199099394,8701.933113155399,98470.4993242989,3.363854145099914e-07,Cumulative cost using time-varying electricity prices,0.1144991199099394,5724.955995496974,64783.22323967035,4.5186263566574825,2018-01,,,,,,,,,,,2018-01-15,17.915281302054,10.8087632289075,0.4286754562828742,0.0698236412234935,4192436470951.402,0.1,2927311800000.0,28.705105643417543,-22.857790550360924,,0.0438025,0.0
2018-01-16,10753.3,-22.857790550360924,42.1049709936097,225819300000.0,5767804.245699958,75591445.46919347,-157.19089774797308,-157.19089774797308,,,100.0,0.076,115.35608491399915,8767.062453463936,107237.56177776284,0.1153560849139991,8767.062453463936,107237.56177776284,4.748821813625445e-07,Cumulative cost using time-varying electricity prices,0.1153560849139991,5767.804245699958,70551.0274853703,3.200793922481521,2018-01,,,,,,,,,,,2018-01-16,18.0426519929113,10.8796388162871,0.4285159582617844,0.0755914454691934,2987365813662.478,0.1,2258193000000.0,28.445586051874017,5.900421266029987,,0.0438025,0.0
2018-01-17,11387.79,5.900421266029987,42.3836365710552,239143590000.00003,5805977.612473316,81397423.08166678,-10.521340450062226,-10.521340450062226,,,100.0,0.076,116.1195522494663,8825.085970959439,116062.64774872227,0.1161195522494663,8825.085970959439,116062.64774872227,4.853261914681562e-07,Cumulative cost using time-varying electricity prices,0.1161195522494663,5805.977612473315,76357.00509784362,3.1319142191808367,2018-01,,,,,,,,,,,2018-01-17,18.159445116844,11.1252294080108,0.4284541532060399,0.0813974230816667,2937974949895.712,0.1,2391435900000.0,28.502915096446,1.9073937963379968,,0.0438025,0.0
2018-01-18,11605.0,1.9073937963379968,42.6910487781437,243705000000.0,5848088.873718316,87245511.9553851,42.466367804622806,42.466367804622806,,,100.0,0.076,116.96177747436631,8889.09508805184,124951.74283677412,0.1169617774743663,8889.09508805184,124951.74283677412,5.127171901962377e-07,Cumulative cost using time-varying electricity prices,0.1169617774743663,5848.088873718316,82205.09397156193,2.9645973044481577,2018-01,,,,,,,,,,,2018-01-18,18.2757957979079,11.2434418596006,0.4280943270539761,0.0872455119553851,2793324201302.4565,0.1,2437050000000.0,28.52180940739028,-2.1973287376131023,,0.0438025,0.0
2018-01-19,11350.0,-2.1973287376131023,43.0915766745499,238350000000.0,5902955.708842452,93148467.66422756,-17.713656932583774,-17.713656932583774,,,100.0,0.076,118.05911417684904,8972.492677440527,133924.23551421464,0.118059114176849,8972.492677440527,133924.23551421464,5.618805769423732e-07,Cumulative cost using time-varying electricity prices,0.118059114176849,5902.955708842452,88108.04968040438,2.70520118042075,2018-01,,,,,,,,,,,2018-01-19,18.3929089875864,11.3008705589516,0.4268330473609554,0.0931484676642275,2558818260534.147,0.1,2383500000000.0,28.499591111591293,13.682907488986796,,0.0438025,0.0
2018-01-20,12903.01,13.682907488986796,43.4363443128356,270963210000.0,5950184.152443234,99098651.8166708,92.45398957314474,92.45398957314474,,,100.0,0.076,119.00368304886466,9044.279911713713,142968.51542592834,0.1190036830488646,9044.279911713717,142968.51542592834,5.276307267910221e-07,Cumulative cost using time-varying electricity prices,0.1190036830488646,5950.184152443233,94058.23383284762,2.8808026576549697,2018-01,,,,,,,,,,,2018-01-20,18.531873190693,11.6938580388623,0.4266444030654016,0.0990986518166708,2734277460214.8257,0.1,2709632100000.0,28.62783398514685,-11.245593082544314,,0.0438025,0.0
2018-01-21,11451.99,-11.245593082544314,43.7384853100276,240491790000.0,5991573.330140767,105090225.14681156,4.679693085755282,4.679693085755282,,,100.0,0.076,119.83146660281534,9107.191461813964,152075.7068877423,0.1198314666028153,9107.191461813964,152075.7068877423,6.323530083407101e-07,Cumulative cost using time-varying electricity prices,0.1198314666028153,5991.573330140767,100049.80716298838,2.4037206749256548,2018-01,,,,,,,,,,,2018-01-21,18.6478540843947,11.9040206006196,0.4263488767892802,0.1050902251468115,2288431580235.286,0.1050902251468115,2288431580235.286,28.45888779938334,-9.62269439634509,,0.0438025,0.0
2018-01-22,10350.0,-9.62269439634509,44.0165044758848,217350000000.0,6029658.147381481,111119883.29419304,-157.19089774797308,-157.19089774797308,,,100.0,0.076,120.5931629476296,9165.08038401985,161240.78727176215,0.1205931629476295,9165.080384019848,161240.78727176215,7.418485726789149e-07,Cumulative cost using time-varying electricity prices,0.1205931629476295,6029.65814738148,106079.46531036984,2.0489356668990752,2018-01,,,,,,,,,,,2018-01-22,18.7543820167439,12.0070101760286,0.4260761330336626,0.111119883294193,1955995574838.3904,0.111119883294193,1955995574838.3904,28.30192042518605,6.092657004830926,,0.0438025,0.0
2018-01-23,10980.59,6.092657004830926,44.2755960651011,230592390000.0,6065150.14590426,117185033.4400973,-80.27996173085522,-80.27996173085522,,,100.0,0.076,121.3030029180852,9219.028221774475,170459.81549353662,0.1213030029180852,9219.028221774472,170459.81549353662,7.392256765001508e-07,Cumulative cost using time-varying electricity prices,0.1213030029180852,6065.15014590426,112144.61545627411,2.0562056328946925,2018-01,,,,,,,,,,,2018-01-23,18.8582998461547,12.1039478493298,0.4259298919076368,0.1171850334400973,1967763145435.0725,0.1171850334400973,1967763145435.0725,28.307918554386283,2.306342373224024,,0.0438025,0.0
2018-01-24,11233.84,2.306342373224024,44.5404469935013,235910640000.0,6101431.095000179,123286464.53509748,-33.169577985877204,-33.169577985877204,,,100.0,0.076,122.02862190000356,9274.17526440027,179733.9907579369,0.1220286219000035,9274.17526440027,179733.9907579369,7.618731853634788e-07,Cumulative cost using time-varying electricity prices,0.1220286219000035,6101.431095000178,118246.0465512743,1.995082684626615,2018-01,,,,,,,,,,,2018-01-24,18.9722811929069,12.2075420521758,0.4259562369384183,0.1232864645350974,1913516142178.288,0.1232864645350974,1913516142178.288,28.27996357772029,0.1064640407910211,,0.0438025,0.0
2018-01-25,11245.8,0.1064640407910211,44.893631094183,236161800000.0,6149812.478655205,129436277.01375268,-29.65320147142535,-29.65320147142535,,,100.0,0.076,122.99624957310412,9347.714967555912,189081.7057254928,0.1229962495731041,9347.714967555912,189081.7057254928,8.006447517146839e-07,Cumulative cost using time-varying electricity prices,0.1229962495731041,6149.812478655206,124395.8590299295,1.898469947807344,2018-01,,,,,,,,,,,2018-01-25,19.0844373781434,12.3149904254555,0.4251034481507161,0.1294362770137526,1824541044045.2307,0.1294362770137526,1824541044045.2307,28.23234958862098,-2.914865994415683,,0.0438025,0.0
2018-01-26,10918.0,-2.914865994415683,45.1508123799576,229278000000.0,6185042.791775015,135621319.8055277,-79.05836645281629,-79.05836645281629,,,100.0,0.076,123.70085583550028,9401.26504349802,198482.97076899084,0.1237008558355002,9401.265043498022,198482.97076899084,8.656869423537837e-07,Cumulative cost using time-varying electricity prices,0.1237008558355002,6185.042791775014,130580.90182170452,1.7558310350242237,2018-01,,,,,,,,,,,2018-01-26,19.1948199914424,12.4200614446024,0.4251267912947445,0.1356213198055277,1690574906134.006,0.1356213198055277,1690574906134.006,28.156089768159426,5.819564022714774,,0.0438025,0.0
2018-01-27,11553.38,5.819564022714774,45.4092884111104,242620980000.0,6220450.467275399,141841770.2728031,18.47819577377708,18.47819577377708,,,100.0,0.076,124.40900934550794,9455.084710258605,207938.05547924945,0.1244090093455079,9455.084710258605,207938.05547924945,8.570489472066656e-07,Cumulative cost using time-varying electricity prices,0.1244090093455079,6220.450467275397,136801.35228897992,1.7735276438458454,2018-01,,,,,,,,,,,2018-01-27,19.3132111248299,12.4287951905207,0.4253141108483983,0.1418417702728031,1710504455305.155,0.1418417702728031,1710504455305.155,28.167809446040685,0.7718953241389048,,0.0438025,0.0
2018-01-28,11642.56,0.7718953241389048,45.6407043766441,244493760000.0,6252151.284471795,148093921.55727488,30.34398679396205,30.34398679396205,,,100.0,0.076,125.04302568943592,9503.269952397128,217441.3254316465,0.1250430256894359,9503.269952397128,217441.3254316465,8.893532719675405e-07,Cumulative cost using time-varying electricity prices,0.1250430256894359,6252.1512844717945,143053.50357345172,1.709107109526074,2018-01,,,,,,,,,,,2018-01-28,19.4527781436119,12.4059594105506,0.4262155549371089,0.1480939215572748,1650937171688.3247,0.1480939215572748,1650937171688.3247,28.132364225441243,-3.801139955473709,,0.0438025,0.0
2018-01-29,11200.01,-3.801139955473709,45.9258533606326,235200210000.0,6291212.789127753,154385134.34640265,-31.08971612014432,-31.08971612014432,,,100.0,0.076,125.82425578255508,9562.643439474186,227003.9688711208,0.125824255782555,9562.643439474185,227003.9688711208,9.651520671308958e-07,Cumulative cost using time-varying electricity prices,0.125824255782555,6291.212789127754,149344.71636257946,1.574881359906837,2018-01,,,,,,,,,,,2018-01-29,19.581866659053,12.7867734766097,0.4263800283750083,0.1543851343464026,1523464101616.5974,0.1543851343464026,1523464101616.5974,28.0520078719942,-9.982223230157828,,0.0438025,0.0
2018-01-30,10082.0,-9.982223230157828,46.1587352628213,211722000000.0,6323114.419564562,160708248.76596722,-157.19089774797308,-157.19089774797308,,,100.0,0.076,126.46228839129124,9611.133917738134,236615.1027888589,0.1264622883912912,9611.133917738132,236615.1027888589,1.1175744740218726e-06,Cumulative cost using time-varying electricity prices,0.1264622883912912,6323.114419564561,155667.83078214404,1.3600883299793862,2018-01,,,,,,,,,,,2018-01-30,19.6902661488307,12.6982261773561,0.4265772456007971,0.1607082487659672,1317430820295.4907,0.1607082487659672,1317430820295.4907,27.9067046076687,-1.1109898829597342,,0.0438025,0.0
2018-01-31,9969.99,-1.1109898829597342,46.4428331221129,209369790000.0,6362031.934536014,167070280.70050323,-157.19089774797308,-157.19089774797308,,,100.0,0.076,127.24063869072027,9670.28854049474,246285.39132935365,0.1272406386907202,9670.28854049474,246285.39132935365,1.1763177071981285e-06,Cumulative cost using time-varying electricity prices,0.1272406386907202,6362.031934536014,162029.86271668004,1.2921679157754824,2018-01,,,,,,,,,,,2018-01-31,19.8055435366529,12.8351553918524,0.4264499429778079,0.1670702807005032,1253183924287.0762,0.1670702807005032,1253183924287.0762,27.856708568210824,-8.860590632488098,,0.0438025,0.0
2018-02-01,9086.59,-8.860590632488098,46.6776889187068,190818390000.0,6394203.961466686,173464484.66196993,-157.19089774797308,-157.19089774797308,30.0,,100.0,0.076,127.88407922933372,9719.190021429362,256004.581350783,0.1278840792293337,9719.19002142936,256004.581350783,1.3416137792106045e-06,Cumulative cost using time-varying electricity prices,0.1278840792293337,6394.203961466686,168424.06667814672,1.132963915214375,2018-02,,,,,,,,,,,2018-02-01,19.906699021009,13.078381936881,0.4264713931248444,0.1734644846619699,1100042987887.968,0.1734644846619699,1100042987887.968,27.726370374867425,-5.775323856364167,,0.0438025,0.0
2018-02-02,8561.81,-5.775323856364167,46.864760554738,179798010000.0,6419830.212977808,179884314.87494773,-157.19089774797308,-157.19089774797308,15.0,144.42307432703976,254.6955078254286,0.076,128.39660425955617,9758.141923726267,265762.72327450925,0.1283966042595561,9758.141923726267,265762.72327450925,1.4781182687979096e-06,Cumulative cost using time-varying electricity prices,0.1283966042595561,6419.830212977808,174843.89689112452,1.0283344926357962,2018-02,,,,,,,,,,,2018-02-02,19.9887756059498,13.2220082269623,0.4265203826786425,0.1798843148749477,999520220120.3162,0.1798843148749477,999520220120.3162,27.63054122091767,6.821454809205063,,0.0438025,0.0
2018-02-03,9145.85,6.821454809205063,47.0655262372319,192062850000.0,6447332.361264644,186331647.2362124,-157.19089774797308,-157.19089774797308,40.0,142.31683252203518,250.7544357307564,0.076,128.94664722529288,9799.945189122258,275562.66846363153,0.1289466472252928,9799.945189122258,275562.66846363153,1.434752574293423e-06,Cumulative cost using time-varying electricity prices,0.1289466472252928,6447.3323612646445,181291.2292523892,1.059416116223774,2018-02,,,,,,,,,,,2018-02-03,20.078467032036,13.3112566913318,0.4266066617598471,0.1863316472362124,1030758074909.9596,0.1863316472362124,1030758074909.9596,27.66131564251676,-7.748213670681247,,0.0438025,0.0
2018-02-04,8437.21,-7.748213670681247,47.2599502576923,177181409999.99997,6473965.788724974,192805613.02493733,-157.19089774797308,-157.19089774797308,24.0,143.60114336366183,253.1575603894699,0.076,129.47931577449947,9840.42799886196,285403.0964624935,0.1294793157744994,9840.427998861956,285403.0964624935,1.6107959433356666e-06,Cumulative cost using time-varying electricity prices,0.1294793157744994,6473.965788724972,187765.1950411141,0.9436328706244164,2018-02,,,,,,,,,,,2018-02-04,20.14568791511,13.4311563835556,0.4262739974388985,0.1928056130249373,918963961786.1304,0.1928056130249373,918963961786.1304,27.546512743937026,-15.943777623171629,,0.0438025,0.0
2018-02-05,7092.0,-15.943777623171629,47.4172538718676,148932000000.0,6495514.229022959,199301127.25396028,-157.19089774797308,-157.19089774797308,11.0,151.99346204340597,268.8607587970548,0.076,129.91028458045918,9873.181628114897,295276.2780906084,0.1299102845804591,9873.181628114897,295276.2780906084,1.9826248092458864e-06,Cumulative cost using time-varying electricity prices,0.1299102845804591,6495.51422902296,194260.7092701371,0.7666604356565823,2018-02,,,,,,,,,,,2018-02-05,20.1876554137973,13.5010370972743,0.4257449296483727,0.1993011272539603,747271237508.9719,0.1993011272539603,747271237508.9719,27.339694058595143,9.969120135363797,,0.0438025,0.0
2018-02-06,7799.01,9.969120135363797,47.6539837298916,163779210000.0,6527942.97669748,205829070.23065776,-157.19089774797308,-157.19089774797308,8.0,150.73825942363507,266.51209968005094,0.076,130.5588595339496,9922.473324580167,305198.75141518854,0.1305588595339495,9922.473324580167,305198.75141518854,1.8634767588339723e-06,Cumulative cost using time-varying electricity prices,0.1305588595339495,6527.942976697479,200788.6522468346,0.8156796122056841,2018-02,,,,,,,,,,,2018-02-06,20.2459115388954,13.5658140271777,0.4248524457819017,0.2058290702306577,795704949822.9987,0.2058290702306577,795704949822.9987,27.402494288025643,3.602893187725109,,0.0438025,0.0
2018-02-07,8080.0,3.602893187725109,47.8257165758632,169680000000.0,6551468.024090849,212380538.2547486,-157.19089774797308,-157.19089774797308,36.0,149.45678484142073,264.1142820581632,0.076,131.02936048181698,9958.23139661809,315156.9828118066,0.131029360481817,9958.23139661809,315156.9828118066,1.8573608133651968e-06,Cumulative cost using time-varying electricity prices,0.131029360481817,6551.468024090849,207340.12027092543,0.8183654942337448,2018-02,,,,,,,,,,,2018-02-07,20.2977251688801,13.6422696540049,0.4244102675739939,0.2123805382547486,798943261912.5878,0.2123805382547486,798943261912.5878,27.40655576881778,1.1742574257425753,,0.0438025,0.0
2018-02-08,8174.88,1.1742574257425753,48.0036424438473,171672480000.0,6575841.430664014,218956379.68541265,-157.19089774797308,-157.19089774797308,30.0,149.729360352325,264.62430884481387,0.076,131.51682861328027,9995.2789746093,325152.2617864159,0.1315168286132802,9995.2789746093,325152.2617864159,1.8940267058902848e-06,Cumulative cost using time-varying electricity prices,0.1315168286132802,6575.841430664013,213915.96170158943,0.8025230031197079,2018-02,,,,,,,,,,,2018-02-08,20.3581752352882,13.6241604147,0.4240964684940807,0.2189563796854126,784048769196.1833,0.2189563796854126,784048769196.1833,27.387737060969503,4.568018123813422,,0.0438025,0.0
2018-02-09,8548.31,4.568018123813422,48.1847662512116,179514510000.0,6600652.911124878,225557032.5965375,-157.19089774797308,-157.19089774797308,44.0,151.19174176310926,267.360628367157,0.076,132.01305822249753,10032.992424909811,335185.25421132566,0.1320130582224975,10032.992424909811,335185.2542113257,1.8671763870860675e-06,Cumulative cost using time-varying electricity prices,0.1320130582224975,6600.6529111248765,220516.6146127144,0.8140634224558322,2018-02,,,,,,,,,,,2018-02-09,20.4288304395591,13.6103506179851,0.4239686529359353,0.2255570325965375,795871926197.5062,0.2255570325965375,795871926197.5062,27.40270411310873,-3.211745947444577,,0.0438025,0.0
