Date,Price,Returns,Market_Cap,Energy_TWh_Annual,fear_greed_index,electricity_price,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,in_analysis_period,construction
2018-01-01,13921.22,,236660740000.0,33.9986182915558,,0.0438025,4080067.0622352683,4080067.0622352683,58004.12992975297,10.968269492678948,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-02,13500.75,-0.0302035310123681,229538376848.35245,34.1067478253121,,0.0438025,4093043.346899269,8173110.409134537,28084.580454439085,10.2429759664337,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-03,14780.86,0.0948176953132233,251330720139.926,33.3795334385973,,0.0438025,4005772.639573036,12178883.048707573,20636.598539846993,9.934821406588563,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-04,15027.1,0.0166593824716558,255546231802.86984,33.1796511718216,,0.0438025,3981785.3985033305,16160668.447210904,15812.850355640667,9.668578202102877,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-05,14949.47,-0.005166000093165,254254416345.6836,31.7783551400225,,0.0438025,3813620.276769413,19974288.72398032,12729.084868010148,9.451644801144159,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-08,15850.01,0.0602389248582058,269660473575.5109,31.116050717895,,0.0438025,3734139.209782454,23708427.933762774,11374.034344617678,9.339088347434691,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-09,14938.37,-0.057516682954774,254178759262.34396,30.9241453313207,,0.0438025,3711109.2489730823,27419537.182735857,9269.987220002471,9.13453727991844,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-10,14510.14,-0.0286664475441431,246919795655.92667,31.1708805835609,,0.0438025,3740719.169209387,31160256.351945244,7924.190124338055,8.977675401010922,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-11,14505.06,-0.0003500999990351,246860764876.088,31.8562561890344,,0.0438025,3822968.9362196694,34983225.28816491,7056.54675469854,8.861711082595384,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-12,13464.11,-0.0717646117975381,229170334193.566,32.8157819795811,,0.0438025,3938118.6031797286,38921343.891344644,5888.037546528014,8.680678037176426,0,0,canonical_v2_cambridge_prices_freeze_last
2018-01-13,13763.0,0.0221990164964487,234283678821.3967,32.745602413145,,0.0438025,3929696.5745254355,42851040.46587008,5467.397670495271,8.60655803641698,0,0,canonical_v2_cambridge_prices_freeze_last
