S0,sigma,VaR99_spot,Initial_margin_1.5x
0.042,1.42,0.1776355580175968,0.26645333702639523
0.042,1.89,0.3377524595756079,0.5066286893634119
0.042,2.36,0.6145964630470707,0.9218946945706061
0.0525,1.42,0.22204444752199598,0.33306667128299394
0.0525,1.89,0.42219057446950986,0.6332858617042648
0.0525,2.36,0.7682455788088383,1.1523683682132573
0.063,1.42,0.2664533370263952,0.39968000553959276
0.063,1.89,0.5066286893634119,0.7599430340451179
0.063,2.36,0.921894694570606,1.382842041855909
