Date,Price,Returns,Returns_forward,Market_Cap,Energy_TWh_Annual,electricity_price,daily_cost_usd,cumulative_cost,CEIR,CEIR_stable,log_CEIR,fear_greed_index,post_china_ban,in_analysis_period
2022-12-25,16830.0,0.0010111223458038,0.36625074272133085,325039479207.83673,78.6170820955033,0.076234375,16420066.076368175,26431897578.33913,12.29724344400478,12.29724344400478,2.5093751270184046,29.0,1,1
2022-12-26,16798.43,-0.001875816993464,0.36328216386888523,324443211934.01544,78.251622103408,0.076234375,16343735.626820529,26448241313.96596,12.267099656365192,12.267099656365192,2.506920853957063,28.0,1,1
2022-12-27,16832.25,0.002013283384221,0.4015357423992634,325109876045.58685,75.8429280778761,0.076234375,15840652.658046125,26464081966.624,12.28494819716812,12.28494819716812,2.5083747892095203,27.0,1,1
2022-12-28,16691.0,-0.0083916291642531,0.382781139536277,322395023156.1804,77.6202637686301,0.076234375,16211869.30338811,26480293835.927387,12.174903539732174,12.174903539732174,2.499376746122662,28.0,1,1
2022-12-29,16516.0,-0.0104846923491702,0.39803826592395253,319028012927.1229,77.8222125277077,0.076234375,16254048.584019084,26496547884.51141,12.04036142057627,12.04036142057627,2.4882644577504225,28.0,1,1
2022-12-30,16597.0,0.0049043351901185,0.3862143760920649,320605894094.3468,79.7079432548677,0.076234375,16647904.75772686,26513195789.26913,12.092314206200212,12.092314206200212,2.492570061214104,28.0,1,1
2022-12-31,16585.7,-0.0006808459360124,0.42267133735687956,320400856413.89484,85.1276371623385,0.076234375,17779869.08026753,26530975658.349403,12.076482242486374,12.076482242486374,2.4912599450060453,25.0,1,1
2023-01-01,16542.0,-0.0026347998577087,0.3751360174102285,319569868654.2217,85.7583296264058,0.076234375,17911596.32907679,26548887254.67848,12.037034380712385,12.037034380712385,2.487988095646105,26.0,1,1
2023-01-02,16574.75,0.0019798089711038,0.38463626902366554,320215780181.9537,87.5044269568781,0.076234375,18276288.489837684,26567163543.16832,12.053066171766629,12.053066171766629,2.48931908165723,27.0,1,1
2023-01-03,16751.75,0.0106788941009667,0.41376274120614265,323648689700.5464,90.1183841420358,0.076234375,18822242.98925482,26585985786.157574,12.173657667005124,12.173657667005124,2.499274409666921,26.0,1,1
2023-01-04,16663.25,-0.0052830301311803,0.407408518746343,321952126150.91125,87.3878062780373,0.076234375,18251930.94308836,26604237717.100662,12.101535461170796,12.101535461170796,2.493332342169295,29.0,1,1
2023-01-05,16820.0,0.0094069284203262,0.39019024970273475,324994107569.0346,88.033170777313,0.076234375,18386722.612264987,26622624439.71293,12.207440641510962,12.207440641510962,2.502045654481153,29.0,1,1
2023-01-06,16843.36,0.0013888228299643,0.3899987888402314,325458879861.1156,89.0796542167675,0.076234375,18605292.505291466,26641229732.21822,12.216360998814038,12.216360998814038,2.5027761187906066,26.0,1,1
2023-01-07,16926.25,0.0049212271185796,0.3503286315634,327074009594.82886,88.2289425614944,0.076234375,18427611.76188061,26659657343.9801,12.268500130167052,12.268500130167052,2.50703501247086,25.0,1,1
2023-01-08,16943.75,0.0010338970533934,0.35241608262633717,327425650647.1046,87.6113723779761,0.076234375,18298625.249663755,26677955969.229763,12.273266026256133,12.273266026256133,2.507423403112236,25.0,1,1
2023-01-09,16925.0,-0.00110660272962,0.37205435745937954,327076779418.7614,86.8320037998411,0.076234375,18135845.3141877,26696091814.54395,12.251859998495023,12.251859998495023,2.505677762076563,25.0,1,1
2023-01-10,17179.0,0.0150073855243721,0.3363408813085744,331999001134.0388,87.9966583314168,0.076234375,18379096.57529891,26714470911.119247,12.427683940985418,12.427683940985418,2.519926560002516,26.0,1,1
2023-01-11,17471.75,0.0170411548984223,0.2510481205374391,337670528025.4968,88.3143356900472,0.076234375,18445447.081838194,26732916358.201084,12.631264150194626,12.631264150194626,2.536175022422081,26.0,1,1
2023-01-12,17558.75,0.0049794668536351,0.2262643980921193,339365890211.972,88.109492240266,0.076234375,18402663.2123398,26751319021.413425,12.685949800842431,12.685949800842431,2.5404950661522,30.0,1,1
2023-01-13,18831.0,0.0724567523314587,0.15904625351813495,363970186620.9317,86.7277519904789,0.076234375,18114071.145614147,26769433092.55904,13.596484668257787,13.596484668257787,2.60981127905506,31.0,1,1
2023-01-14,19812.31,0.0521114120333492,0.10985291467779379,382952904538.7809,88.5464358033927,0.076234375,18493923.81355963,26787927016.3726,14.295727485920157,14.295727485920157,2.6599607154146785,46.0,1,1
2023-01-15,20902.0,0.0550006536340283,0.03488900583676213,404032138761.33417,90.2319406604367,0.076234375,18845960.551467065,26806772976.92407,15.072017027530132,15.072017027530132,2.7128398475792643,52.0,1,1
2023-01-16,20929.5,0.0013156635728639,0.06333166105258137,404580297220.92847,91.68033365894,0.076234375,19148473.798029464,26825921450.7221,15.081692457950515,15.081692457950515,2.713481588241858,45.0,1,1
2023-01-17,21133.0,0.0097231180869108,0.14399280745753096,408530820658.4525,92.6063622058275,0.076234375,19341885.325438023,26845263336.04754,15.217985219384367,15.217985219384367,2.722477966495111,51.0,1,1
2023-01-18,21314.0,0.0085648038612595,0.1513089987801446,412046683815.1559,93.9109195798882,0.076234375,19614356.876296,26864877692.92384,15.337746500282348,15.337746500282348,2.730316881645931,52.0,1,1
2023-01-19,20777.0,-0.0251947077038565,0.1783221831833277,401681731849.3443,95.0896691781336,0.076234375,19860552.051374737,26884738244.97521,14.940883120720695,14.940883120720695,2.704101289117026,45.0,1,1
2023-01-20,20944.0,0.0080377340328248,0.17557534377387318,404926910873.846,94.4134594767714,0.076234375,19719318.01314929,26904457562.98836,15.050551007238726,15.050551007238726,2.7114146023013497,51.0,1,1
2023-01-21,22318.0,0.0656035141329258,0.0913164262030648,431509185839.566,93.1579801193598,0.076234375,19457096.96071732,26923914659.94908,16.02698535073956,16.02698535073956,2.7742738859746794,53.0,1,1
2023-01-22,23206.0,0.0397885115153686,0.06757950530035339,448696634121.1708,93.5640244427439,0.076234375,19541903.90651316,26943456563.85559,16.653269154897274,16.653269154897274,2.8126065427926465,53.0,1,1
2023-01-23,22925.0,-0.0121089373437903,0.055703380588876694,443281504087.48566,94.9468571610915,0.076234375,19830724.14764407,26963287288.003235,16.440187702362046,16.440187702362046,2.7997288069814714,50.0,1,1
2023-01-24,22994.0,0.003009814612868,0.03522658084717745,444633854517.6959,92.7665705025083,0.076234375,19375346.638773028,26982662634.64201,16.478501789769535,16.478501789769535,2.802056609533732,52.0,1,1
2023-01-25,22901.0,-0.0040445333565277,0.042705558709226654,442853591332.9585,96.2938213136647,0.076234375,20112052.83344906,27002774687.47546,16.400299467682657,16.400299467682657,2.7972995948879893,51.0,1,1
2023-01-26,23591.0,0.0301296886598838,-0.02093891738374809,456215241140.08185,97.4710771331563,0.076234375,20357936.01595332,27023132623.491413,16.882396556182037,16.882396556182037,2.8262714551672965,54.0,1,1
