regime,model,n,adj_r2,aic,bic,sample_start,sample_end,focus,coef,p_hac,p_cluster,wald_p_hac,wald_p_cluster,incremental_wald_p_hac,incremental_wald_p_cluster,interaction_coef,interaction_p_hac
pre_ban,ceir_only,872,0.18546916994449025,-121.35494740733861,-97.50100028779372,2019-01-30,2021-06-19,log_ceir_w,-0.262347427051995,0.0005156475703374068,0.0007345332732709618,0.0005156475703374067,0.0007345332732709637,,,,
pre_ban,benchmark_only,721,0.34695543932059814,-255.19373873717768,-218.5486256388981,2019-06-30,2021-06-19,log_price,-0.541285496232545,0.000267905595455803,0.0005583967350429896,0.0002679055954558038,0.0005583967350429906,,,,
pre_ban,benchmark_plus_ceir,721,0.4163266282011471,-335.17673404150764,-293.9509818059431,2019-06-30,2021-06-19,log_ceir_w,2.6301543370546208,0.0024446696590759995,0.003255907217107707,0.0024446696590760043,0.0032559072171077044,0.0024446696590760043,0.0032559072171077044,,
post_ban,ceir_only,1408,0.041491558345904456,-1007.5883228090734,-981.3386951254835,2021-06-20,2025-04-28,log_ceir_w,-0.07081070948464456,0.13312545559520997,0.12582057266841074,0.1331254555952105,0.12582057266841162,,,,
post_ban,benchmark_only,1408,0.05942643373395928,-1031.1972506041666,-989.1978463104227,2021-06-20,2025-04-28,log_price,-0.06965427030817399,0.15533127706311764,0.14550800511772347,0.1553312770631138,0.14550800511771936,,,,
post_ban,benchmark_plus_ceir,1408,0.3094802126754119,-1465.3390180891156,-1418.0896882586537,2021-06-20,2025-04-28,log_ceir_w,8.027633583404704,1.6434967967367153e-08,1.84457332767975e-08,1.643496796736712e-08,1.844573327679746e-08,1.643496796736712e-08,1.844573327679746e-08,,
pooled,ceir_with_interaction,2280,0.11213868059265297,-953.5047633401482,-913.3812482865088,2019-01-30,2025-04-28,log_ceir_w,-0.1874855452464097,0.0029203336413757804,0.0020216737250212044,0.002920333641375779,0.002021673725021205,,,,
pooled,benchmark_only,2129,0.08960910349484652,-946.1270519520517,-895.1563829680103,2019-06-30,2025-04-28,log_price,-0.07434389591121061,0.13306614709398362,0.12023053285223201,0.1330661470939834,0.12023053285223145,,,,
pooled,benchmark_plus_ceir_interaction,2129,0.11369383877306327,-1001.2184263655886,-938.9209420517603,2019-06-30,2025-04-28,log_ceir_w,-0.5181851497333083,0.012491413827740681,0.015901110520309843,0.012491413827740704,0.01590111052030982,0.012491413827740704,0.01590111052030982,0.10205845876272705,0.3758204314422203
