model,n,focus_regressor,focus_coef,focus_p_hac,focus_p_cluster,adj_r2,sample_start,sample_end,ceir_coef,ceir_p_hac,ceir_p_cluster
ceir_only_preferred,2280,log_ceir_w,-0.14197508965647135,0.0011297132862787519,0.0008960982236568736,0.10257003044872481,2019-01-30,2025-04-28,-0.14197508965647135,0.0011297132862787519,0.0008960982236568736
benchmark_only,2129,log_price,-0.10372659003077662,0.035341407553653885,0.03307640636876479,0.07965693201434587,2019-06-30,2025-04-28,,,
ceir_plus_benchmark,2129,log_ceir_w,-0.2585304295577362,0.1653845253590024,0.15227107708524557,0.08988573307929693,2019-06-30,2025-04-28,-0.2585304295577362,0.1653845253590024,0.15227107708524557
ceir_plus_mcap_momentum,2129,log_ceir_w,-0.2289507313088157,0.18808628502655,0.17410349253998147,0.08379923226161623,2019-06-30,2025-04-28,-0.2289507313088157,0.18808628502655,0.17410349253998147
