date,stablecoin_supply_usd_monthly_mean,stablecoin_yoy,m2_level,m2_yoy
2023-01-01,136699268714.0,-19.314723723255,21274.0,-1.7203784463005412
2023-02-01,135911743833.92857,-24.281921565457022,21240.2,-2.2301803937453735
2023-03-01,133333204878.83871,-27.883908480546705,20942.3,-3.877965043695386
2023-04-01,130906658956.63333,-29.801251376070315,20758.3,-4.636707767507664
2023-05-01,129662036253.64516,-22.66897057106124,20829.6,-4.087966331144621
2023-06-01,128212169150.4,-17.895404840924435,20798.9,-3.9165323120845197
2023-07-01,126337258297.74193,-17.34936311703543,20792.2,-3.958575836520517
2023-08-01,124043198561.67741,-18.739048265975754,20782.0,-3.9733110309168818
2023-09-01,124095551436.73334,-18.21437520488707,20753.6,-3.656696671045856
2023-10-01,123859331908.06451,-15.647287117860342,20737.5,-3.385187359358177
2023-11-01,125954504295.36667,-12.734039740852,20749.7,-3.0813567872056247
2023-12-01,129091893368.74193,-7.515870797482771,20779.9,-2.410170430796821
2024-01-01,133085115352.25807,-2.643871760062888,20835.5,-2.0612014665789213
2024-02-01,137033975978.06897,0.8257065301962907,20921.7,-1.4995150704795623
2024-03-01,145953556757.9355,9.465273028249044,20965.9,0.11269058317378011
2024-04-01,155711611080.0,18.9485793320751,20955.5,0.9499814532018647
2024-05-01,160116270337.67743,23.487394586691224,21021.7,0.92224526635174
2024-06-01,161228991770.93332,25.751707376390122,21070.7,1.3067998788397484
2024-07-01,163061355116.03226,29.06830282143831,21098.8,1.4745914333259558
2024-08-01,167322030004.09677,34.89012855541613,21191.9,1.9723799441824674
2024-09-01,171346968331.73334,38.07664041775891,21275.5,2.514744429882043
2024-10-01,172778694547.67743,39.495903849960754,21336.7,2.8894514767932478
2024-11-01,183450846081.63333,45.64849991504567,21454.8,3.3981214186229236
2024-12-01,201956889585.0645,56.444285008810624,21487.6,3.4056949263470804
2025-01-01,210849887863.6129,58.432359100055734,21539.2,3.377408749490063
2025-02-01,224623378126.85715,63.91801852323549,21607.2,3.2765023874733012
2025-03-01,230007864346.03226,57.589763110398984,21684.1,3.4255624609484725
2025-04-01,234900495594.43332,50.85612046859398,21770.9,3.8911025745031136
2025-05-01,243226325859.0645,51.906065102635736,21836.2,3.8745677086058583
2025-06-01,249561931517.66666,54.78725555279331,21942.7,4.138448176852227
2025-07-01,257897233524.9355,58.1596285284268,22025.5,4.392192920924409
2025-08-01,272584619680.3871,62.91017965399597,22092.5,4.24973692778845
2025-09-01,288598967233.13336,68.42957307210497,22176.1,4.233038001457068
2025-10-01,304254809232.64514,76.09509669532058,22249.8,4.279480894421339
2025-11-01,303622455539.43335,65.50616256319972,22279.8,3.8452933609262274
2025-12-01,307609129775.3226,52.314254001103144,22355.3,4.038142928945065
2026-01-01,307378685448.29034,45.780815234351245,22420.1,4.089752637052424
2026-02-01,305599003658.4643,36.04950927497661,22620.3,4.6887148728201655
2026-03-01,312099445199.9355,35.690771307889555,22676.1,4.574780599609851
2026-04-01,316724939294.63336,34.83366158642498,22799.9,4.726492703563023
2026-05-01,319609580280.5806,31.404188733161952,23055.6,5.584304961485964
2026-06-01,313111504298.2,25.464449803729238,23155.2,5.525755718302672
