date,residual,leverage,cooks_distance
2023-01-01,-17.61026786029867,0.04201816434216519,0.041776225863107516
2023-02-01,-18.0603185987958,0.048914379234463005,0.05189468522271203
2023-03-01,-7.061957876224589,0.0787624676018346,0.013617615424925863
2023-04-01,-2.2563909937374333,0.0963881551822517,0.0017683299618595368
2023-05-01,0.013715780015282064,0.08339584169271935,5.494099548982027e-08
2023-06-01,3.2682745966729563,0.07959934254345113,0.002953027349998246
2023-07-01,4.18684684067372,0.08051885414834994,0.004912027957849174
2023-08-01,2.927724238666922,0.08084289839334882,0.002413223081277945
2023-09-01,0.6470066066618934,0.07408336909902374,0.00010643124394498972
2023-10-01,0.8083614338100329,0.06862627293802034,0.0001520997047493054
2023-11-01,1.0294900460809746,0.06289116906720932,0.0002233205367128735
2023-12-01,0.3005504680054951,0.05161309164086694,1.5251000776955997e-05
2024-01-01,2.080477860935707,0.04650612517334039,0.000651441303743616
2024-02-01,0.5731821120755622,0.03937356466526962,4.124351555228245e-05
2024-03-01,-5.07234805432671,0.02635180724176328,0.002104258673511869
2024-04-01,-3.007934611664542,0.02394913280492959,0.0006692007569539624
2024-05-01,1.776639680801111,0.023980989029108373,0.00023378896287385833
2024-06-01,0.6335709123812236,0.023831020021635545,2.9536418911334434e-05
2024-07-01,2.4634338367468906,0.02396261145923312,0.0004491152423747313
2024-08-01,3.87455862824471,0.02505735622145594,0.0011643842964852602
2024-09-01,2.255400017947025,0.02744944661400082,0.00043434130746292934
2024-10-01,0.35453715369936134,0.029832618480402136,1.1721853688778927e-05
2024-11-01,2.00001635508044,0.03402307741196226,0.00042912314359189847
2024-12-01,12.728695686200652,0.03409378031844085,0.017419985652078977
2025-01-01,14.967402052400715,0.033830958657615554,0.02388777345062235
2025-02-01,21.34715158883712,0.03292109894441725,0.047195992995235685
2025-03-01,13.698135667824502,0.03428041381724498,0.02029278506476127
2025-04-01,2.839531977632454,0.039134053407567496,0.0010055357351422315
2025-05-01,4.035985313675624,0.03894588054958969,0.0020208763673994707
2025-06-01,4.5790385738171295,0.042087694616072015,0.00282961265799214
2025-07-01,5.703082876892871,0.04538805724783006,0.004766306706300884
2025-08-01,11.715878448613623,0.043501482028464364,0.019202594762649107
2025-09-01,17.383234241309182,0.04328598462861688,0.042045444259259004
2025-10-01,24.63724633442429,0.04388826063889337,0.08574131743411266
2025-11-01,17.895470827770353,0.038615578616475035,0.03936673498432276
2025-12-01,2.994800908458082,0.040858559392065445,0.0011720021377776924
2026-01-01,-3.995930429788835,0.041485639287099266,0.0021213441378771223
2026-02-01,-19.034396438448375,0.04959168300025844,0.05852499213799667
2026-03-01,-18.38360928538986,0.047932275349269075,0.05258097984145074
2026-04-01,-20.584978075310048,0.05015408649621508,0.06930675692410554
2026-05-01,-31.615175437022465,0.06455767349130093,0.21696005490788609
2026-06-01,-37.03613340534842,0.06347508450575863,0.29207248643106426
