label,N,maxlags,beta,se,tstat,pvalue,ci_low,ci_high,r2,adj_r2,note,date_start,date_end
Original: stablecoin_yoy ~ m2_yoy (2023-01 to 2026-06),42,6,8.860592091389984,1.1024087571645016,8.037483405139357,9.170231294912615e-16,6.699910631105999,11.02127355167397,0.8445473955794255,0.8406610804689112,,2023-01-01,2026-06-01
Spec A: d(stablecoin_yoy) ~ m2_yoy,41,6,-0.32909639389245227,0.300498423658964,-1.0951684534157295,0.2734428435344298,-0.9180624816750806,0.2598696938901761,0.03930810208126567,0.01467497649360594,,2023-02-01,2026-06-01
Spec B: d(stablecoin_yoy) ~ d(m2_yoy),41,6,3.7086563985555174,1.166667712677926,3.178845491526293,0.0014786288643684694,1.4220296997810586,5.995283097329976,0.10753807247192182,0.08465443330453526,,2023-02-01,2026-06-01
Spec C: d(sc)_t ~ d(sc)_t-1 + m2_t + m2_t-1 (m2_t coef),40,6,2.4032942709917173,0.9161218066634549,2.623334859525495,0.008707364551670971,0.6077285244795791,4.198860017503856,0.40831246820200406,0.35900517388550446,distributed lag,2023-03-01,2026-06-01
Spec D: stablecoin_yoy ~ m2_yoy_t + m2_yoy_t-1 (m2_t coef),41,6,6.234041463820823,4.768407313157781,1.3073634558479978,0.19108930243504296,-3.1118651335858356,15.579948061227482,0.8466044045486113,0.8385309521564329,"level y, distributed lag x",2023-02-01,2026-06-01
