series,sample,N,adf_stat,adf_p,adf_lags,adf_crit_1pct,adf_crit_5pct,kpss_stat,kpss_p,kpss_bandwidth,pp_stat,pp_p,pp_bandwidth
stablecoin_yoy,exact_window_2023-01_2026-06,42,-3.308631790751683,0.014497014684312012,10,-3.661428725118324,-2.960525341210433,0.7419488933483086,0.010058778083680346,4,-1.3871340366619713,0.5884284447119594,10
m2_yoy,exact_window_2023-01_2026-06,42,0.018411613178973992,0.9600284852672525,0,-3.60098336718852,-2.9351348158036012,0.8515833344895725,0.0055065656215281065,4,-0.3907636323006076,0.9116295355010816,10
stablecoin_yoy,full_common_sample,92,-1.5645647450215998,0.5013651887180067,11,-3.5148692050781247,-2.8984085156250003,0.4173683843797011,0.06509415269117844,3,-15.196186549344635,5.916210347983064e-28,12
m2_yoy,full_common_sample,92,-1.5940764397059186,0.4865684248055521,3,-3.506944401824286,-2.894989819214876,0.556608223841694,0.028764521544035762,5,-1.6255730359644422,0.4698087999594055,12
