Variable,Mean (full),Mean (pre-ban),Mean (post-ban),Std (full)
Bitcoin price (USD),34880.607697368425,16665.996536697246,46161.24756392045,25236.405254970767
Market capitalisation (USD),673488636069.8682,308430925587.8034,899575513584.3286,500162791853.6
CEIR = MarketCap / CumulativeEnergyCost,29.651600285155304,30.399425751615244,29.18845837695,14.731382536593689
log(CEIR),3.2819006479746986,3.2850217097271392,3.279967717684835,0.4535800671294086
Daily return,0.0020475251470131713,0.003512763685260332,0.0011400762795760093,0.0341488654652973
30-day forward return,0.06437610648294304,0.10718318618964286,0.03786490371004372,0.20802368795458692
Fear & Greed Index (0–100),49.50087719298246,52.28669724770642,47.77556818181818,21.85522187560561
30-day return volatility,0.0317870920431198,0.037339009506179285,0.028348688614293186,0.012399853907463112
